,Rank,Player 1,Player 2,Stage,Winner
790,master-master,Samus,Fox,Yoshi’s Story,Player 1
791,platinum-platinum,Fox,Fox,Final Destination,Player 1
792,platinum-platinum,Fox,Peach,Pokémon Stadium,Player 1
793,platinum-diamond,Mewtwo,Dr. Mario,Fountain of Dreams,Player 2
794,master-diamond,Jigglypuff,Ganondorf,Final Destination,Player 1
795,master-diamond,Fox,Peach,Final Destination,Player 1
796,master-platinum,Marth,Captain Falcon,Yoshi’s Story,Player 2
797,master-diamond,Falco,Ice Climbers,Dream Land,Player 1
798,diamond-diamond,Ganondorf,Falco,Fountain of Dreams,Player 1
799,diamond-diamond,Falco,Peach,Fountain of Dreams,Player 2
800,platinum-platinum,Falco,Fox,Final Destination,Player 2
801,master-master,Samus,Falco,Yoshi’s Story,Player 2
802,diamond-diamond,Jigglypuff,Marth,Pokémon Stadium,Player 1
803,master-diamond,Falco,Falco,Yoshi’s Story,Player 1
804,diamond-diamond,Falco,Mewtwo,Pokémon Stadium,Player 2
805,diamond-diamond,Sheik,Bowser,Fountain of Dreams,Player 1
806,master-master,Pikachu,Sheik,Yoshi’s Story,Player 1
807,master-platinum,Young Link,Samus,Yoshi’s Story,Player 2
808,master-diamond,Falco,Falco,Yoshi’s Story,Player 1
809,diamond-diamond,Marth,Fox,Pokémon Stadium,Player 2
810,diamond-diamond,Fox,Fox,Pokémon Stadium,Player 2
811,diamond-diamond,Captain Falcon,Falco,Pokémon Stadium,Player 2
812,diamond-diamond,Falco,Falco,Final Destination,Player 2
813,master-platinum,Jigglypuff,Falco,Fountain of Dreams,Player 1
814,master-platinum,Marth,Fox,Pokémon Stadium,Player 2
815,platinum-platinum,Captain Falcon,Sheik,Yoshi’s Story,Player 1
816,master-master,Marth,Captain Falcon,Final Destination,Player 2
817,diamond-diamond,Falco,Fox,Pokémon Stadium,Player 1
818,master-diamond,Falco,Captain Falcon,Pokémon Stadium,Player 2
819,master-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 2
820,master-master,Donkey Kong,Fox,Final Destination,Player 2
821,master-platinum,Fox,Falco,Battlefield,Player 1
822,master-diamond,Marth,Jigglypuff,Final Destination,Player 1
823,platinum-platinum,Marth,Fox,Yoshi’s Story,Player 1
824,master-diamond,Young Link,Falco,Pokémon Stadium,Player 2
825,master-master,Yoshi,Jigglypuff,Final Destination,Player 1
826,platinum-platinum,Young Link,Fox,Yoshi’s Story,Player 2
827,master-platinum,Falco,Captain Falcon,Yoshi’s Story,Player 2
828,master-diamond,Falco,Peach,Final Destination,Player 1
829,diamond-diamond,Marth,Peach,Fountain of Dreams,Player 1
830,master-platinum,Fox,Sheik,Yoshi’s Story,Player 2
831,diamond-diamond,Jigglypuff,Falco,Final Destination,Player 1
832,platinum-diamond,Marth,Captain Falcon,Final Destination,Player 2
833,master-platinum,Luigi,Luigi,Final Destination,Player 2
834,master-diamond,Fox,Fox,Battlefield,Player 2
835,platinum-platinum,Marth,Falco,Pokémon Stadium,Player 2
836,master-diamond,Samus,Sheik,Pokémon Stadium,Player 2
837,platinum-diamond,Falco,Fox,Pokémon Stadium,Player 2
838,master-diamond,Fox,Fox,Fountain of Dreams,Player 1
839,master-diamond,Captain Falcon,Falco,Pokémon Stadium,Player 1
840,master-diamond,Fox,Luigi,Final Destination,Player 1
841,platinum-diamond,Bowser,Jigglypuff,Pokémon Stadium,Player 2
842,diamond-diamond,Marth,Peach,Pokémon Stadium,Player 2
843,master-master,Fox,Falco,Final Destination,Player 2
844,master-platinum,Jigglypuff,Fox,Fountain of Dreams,Player 1
845,platinum-diamond,Sheik,Sheik,Yoshi’s Story,Player 2
846,master-platinum,Fox,Fox,Yoshi’s Story,Player 1
847,master-platinum,Sheik,Falco,Yoshi’s Story,Player 1
848,master-platinum,Peach,Sheik,Pokémon Stadium,Player 1
849,platinum-diamond,Peach,Fox,Fountain of Dreams,Player 1
850,master-master,Marth,Sheik,Final Destination,Player 2
851,platinum-platinum,Falco,Fox,Final Destination,Player 2
852,platinum-diamond,Jigglypuff,Ganondorf,Fountain of Dreams,Player 2
853,master-platinum,Captain Falcon,Jigglypuff,Final Destination,Player 2
854,platinum-diamond,Yoshi,Falco,Battlefield,Player 2
855,platinum-platinum,Luigi,Marth,Final Destination,Player 2
856,master-master,Sheik,Fox,Battlefield,Player 2
857,platinum-diamond,Fox,Ness,Yoshi’s Story,Player 1
858,platinum-platinum,Falco,Fox,Dream Land,Player 1
859,diamond-diamond,Fox,Samus,Battlefield,Player 2
860,master-diamond,Jigglypuff,Fox,Pokémon Stadium,Player 1
861,master-diamond,Fox,Sheik,Final Destination,Player 1
862,master-diamond,Jigglypuff,Fox,Yoshi’s Story,Player 2
863,platinum-platinum,Fox,Fox,Dream Land,Player 1
864,master-platinum,Fox,Fox,Final Destination,Player 2
865,platinum-diamond,Peach,Fox,Battlefield,Player 2
866,diamond-diamond,Luigi,Jigglypuff,Pokémon Stadium,Player 1
867,master-diamond,Fox,Jigglypuff,Final Destination,Player 2
868,platinum-platinum,Ganondorf,Ganondorf,Yoshi’s Story,Player 2
869,master-master,Fox,Jigglypuff,Final Destination,Player 1
870,master-diamond,Falco,Marth,Pokémon Stadium,Player 2
871,diamond-diamond,Fox,Falco,Battlefield,Player 2
872,platinum-diamond,Marth,Peach,Battlefield,Player 2
873,diamond-diamond,Mewtwo,Samus,Pokémon Stadium,Player 2
874,platinum-diamond,Samus,Falco,Pokémon Stadium,Player 2
875,master-master,Captain Falcon,Fox,Final Destination,Player 2
876,diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
877,master-master,Marth,Fox,Pokémon Stadium,Player 2
878,diamond-diamond,Marth,Falco,Pokémon Stadium,Player 2
879,master-master,Fox,Marth,Final Destination,Player 1
880,platinum-platinum,Falco,Fox,Final Destination,Player 2
881,platinum-diamond,Sheik,Marth,Yoshi’s Story,Player 2
882,platinum-platinum,Fox,Marth,Battlefield,Player 1
883,diamond-diamond,Fox,Fox,Yoshi’s Story,Player 1
884,diamond-diamond,Dr. Mario,Samus,Battlefield,Player 2
885,platinum-diamond,Falco,Peach,Battlefield,Player 2
886,master-master,Yoshi,Sheik,Final Destination,Player 2
887,master-platinum,Marth,Falco,Pokémon Stadium,Player 1
888,platinum-diamond,Fox,Falco,Yoshi’s Story,Player 1
889,master-diamond,Ganondorf,Fox,Final Destination,Player 2
890,master-platinum,Jigglypuff,Sheik,Final Destination,Player 1
891,master-diamond,Falco,Fox,Pokémon Stadium,Player 2
892,platinum-diamond,Marth,Falco,Pokémon Stadium,Player 2
893,platinum-platinum,Sheik,Marth,Final Destination,Player 2
894,master-master,Peach,Sheik,Fountain of Dreams,Player 1
895,master-master,Pikachu,Captain Falcon,Pokémon Stadium,Player 2
896,master-master,Sheik,Fox,Final Destination,Player 2
897,diamond-diamond,Falco,Falco,Yoshi’s Story,Player 1
898,platinum-platinum,Fox,Marth,Yoshi’s Story,Player 2
899,platinum-platinum,Yoshi,Falco,Fountain of Dreams,Player 2
900,master-master,Fox,Ganondorf,Pokémon Stadium,Player 2
901,platinum-platinum,Roy,Ice Climbers,Final Destination,Player 2
902,master-master,Marth,Falco,Pokémon Stadium,Player 2
903,diamond-diamond,Roy,Falco,Pokémon Stadium,Player 2
904,diamond-diamond,Fox,Falco,Yoshi’s Story,Player 2
905,platinum-diamond,Fox,Fox,Final Destination,Player 1
906,platinum-diamond,Fox,Marth,Final Destination,Player 1
907,diamond-diamond,Marth,Captain Falcon,Final Destination,Player 1
908,master-diamond,Ice Climbers,Captain Falcon,Yoshi’s Story,Player 1
909,platinum-diamond,Peach,Peach,Pokémon Stadium,Player 1
910,diamond-diamond,Falco,Ness,Fountain of Dreams,Player 2
911,platinum-platinum,Link,Falco,Final Destination,Player 1
912,diamond-diamond,Mr. Game & Watch,Falco,Final Destination,Player 1
913,master-platinum,Fox,Fox,Yoshi’s Story,Player 2
914,diamond-diamond,Ness,Falco,Fountain of Dreams,Player 1
915,master-platinum,Fox,Falco,Battlefield,Player 1
916,platinum-diamond,Fox,Sheik,Fountain of Dreams,Player 2
917,master-master,Falco,Sheik,Pokémon Stadium,Player 2
918,master-platinum,Captain Falcon,Marth,Battlefield,Player 1
919,master-diamond,Yoshi,Captain Falcon,Final Destination,Player 1
920,platinum-diamond,Fox,Marth,Yoshi’s Story,Player 2
921,master-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 2
922,master-master,Fox,Falco,Final Destination,Player 2
923,diamond-diamond,Fox,Captain Falcon,Final Destination,Player 2
924,platinum-diamond,Sheik,Marth,Pokémon Stadium,Player 2
925,master-master,Falco,Sheik,Final Destination,Player 2
926,diamond-diamond,Captain Falcon,Dr. Mario,Pokémon Stadium,Player 2
927,master-master,Fox,Captain Falcon,Final Destination,Player 2
928,master-master,Falco,Sheik,Final Destination,Player 2
929,diamond-diamond,Falco,Falco,Pokémon Stadium,Player 1
930,platinum-diamond,Sheik,Ness,Final Destination,Player 1
931,master-diamond,Fox,Falco,Pokémon Stadium,Player 1
932,master-master,Ice Climbers,Ganondorf,Final Destination,Player 1
933,diamond-diamond,Peach,Falco,Battlefield,Player 1
934,master-diamond,Fox,Captain Falcon,Final Destination,Player 1
935,master-platinum,Captain Falcon,Falco,Yoshi’s Story,Player 2
936,master-platinum,Ganondorf,Marth,Final Destination,Player 1
937,platinum-platinum,Falco,Fox,Battlefield,Player 2
938,platinum-platinum,Dr. Mario,Sheik,Fountain of Dreams,Player 1
939,master-platinum,Marth,Falco,Yoshi’s Story,Player 1
940,diamond-diamond,Mewtwo,Sheik,Yoshi’s Story,Player 1
941,master-diamond,Fox,Marth,Yoshi’s Story,Player 1
942,platinum-diamond,Fox,Fox,Yoshi’s Story,Player 2
943,diamond-diamond,Bowser,Falco,Fountain of Dreams,Player 2
944,master-master,Falco,Luigi,Final Destination,Player 2
945,master-diamond,Fox,Falco,Fountain of Dreams,Player 1
946,master-platinum,Ice Climbers,Marth,Final Destination,Player 1
947,platinum-diamond,Captain Falcon,Falco,Final Destination,Player 1
948,platinum-platinum,Peach,Fox,Yoshi’s Story,Player 2
949,master-platinum,Falco,Falco,Pokémon Stadium,Player 1
950,master-diamond,Captain Falcon,Fox,Final Destination,Player 1
951,master-diamond,Ganondorf,Fox,Final Destination,Player 1
952,platinum-platinum,Falco,Dr. Mario,Yoshi’s Story,Player 1
953,diamond-diamond,Captain Falcon,Fox,Yoshi’s Story,Player 2
954,diamond-diamond,Falco,Falco,Final Destination,Player 2
955,master-diamond,Marth,Marth,Pokémon Stadium,Player 2
956,master-diamond,Falco,Fox,Fountain of Dreams,Player 1
957,platinum-diamond,Peach,Peach,Dream Land,Player 2
958,master-master,Fox,Fox,Dream Land,Player 1
959,platinum-platinum,Fox,Sheik,Final Destination,Player 1
960,master-master,Fox,Marth,Yoshi’s Story,Player 1
961,master-master,Yoshi,Fox,Fountain of Dreams,Player 1
962,platinum-diamond,Falco,Falco,Pokémon Stadium,Player 2
963,master-platinum,Falco,Marth,Pokémon Stadium,Player 1
964,platinum-platinum,Mr. Game & Watch,Captain Falcon,Pokémon Stadium,Player 1
965,platinum-platinum,Peach,Dr. Mario,Fountain of Dreams,Player 2
966,master-platinum,Samus,Pikachu,Final Destination,Player 1
967,master-master,Jigglypuff,Fox,Fountain of Dreams,Player 1
968,master-platinum,Captain Falcon,Falco,Final Destination,Player 2
969,master-diamond,Falco,Captain Falcon,Yoshi’s Story,Player 2
970,master-master,Captain Falcon,Marth,Final Destination,Player 1
971,master-master,Falco,Marth,Dream Land,Player 2
972,diamond-diamond,Falco,Fox,Final Destination,Player 2
973,master-platinum,Jigglypuff,Fox,Yoshi’s Story,Player 1
974,master-master,Captain Falcon,Fox,Yoshi’s Story,Player 2
975,platinum-platinum,Jigglypuff,Fox,Final Destination,Player 1
976,platinum-platinum,Fox,Fox,Final Destination,Player 1
977,platinum-platinum,Falco,Jigglypuff,Yoshi’s Story,Player 1
978,platinum-diamond,Falco,Fox,Pokémon Stadium,Player 1
979,master-diamond,Marth,Peach,Final Destination,Player 2
980,master-platinum,Peach,Mario,Pokémon Stadium,Player 1
981,platinum-platinum,Falco,Dr. Mario,Pokémon Stadium,Player 2
982,master-diamond,Dr. Mario,Falco,Yoshi’s Story,Player 2
983,platinum-platinum,Falco,Falco,Yoshi’s Story,Player 1
984,master-master,Jigglypuff,Fox,Final Destination,Player 1
985,diamond-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 1
986,platinum-diamond,Mario,Falco,Yoshi’s Story,Player 2
987,platinum-diamond,Falco,Falco,Yoshi’s Story,Player 1
988,master-master,Sheik,Fox,Dream Land,Player 1
989,master-diamond,Falco,Ganondorf,Yoshi’s Story,Player 2
990,master-platinum,Falco,Ice Climbers,Dream Land,Player 2
991,master-diamond,Fox,Falco,Pokémon Stadium,Player 1
992,master-diamond,Marth,Fox,Pokémon Stadium,Player 1
993,master-platinum,Fox,Falco,Pokémon Stadium,Player 1
994,diamond-diamond,Marth,Falco,Pokémon Stadium,Player 2
995,platinum-platinum,Samus,Fox,Final Destination,Player 1
996,master-master,Yoshi,Fox,Yoshi’s Story,Player 2
997,master-diamond,Marth,Fox,Yoshi’s Story,Player 1
998,diamond-diamond,Falco,Ice Climbers,Fountain of Dreams,Player 2
999,master-diamond,Sheik,Falco,Final Destination,Player 1
1000,master-master,Peach,Marth,Fountain of Dreams,Player 2
1001,master-master,Fox,Falco,Yoshi’s Story,Player 1
1002,master-platinum,Marth,Falco,Yoshi’s Story,Player 1
1003,diamond-diamond,Peach,Falco,Pokémon Stadium,Player 1
1004,diamond-diamond,Jigglypuff,Fox,Pokémon Stadium,Player 1
1005,master-platinum,Marth,Jigglypuff,Fountain of Dreams,Player 1
1006,master-platinum,Falco,Captain Falcon,Pokémon Stadium,Player 1
1007,diamond-diamond,Falco,Jigglypuff,Yoshi’s Story,Player 2
1008,platinum-platinum,Falco,Fox,Yoshi’s Story,Player 2
1009,master-platinum,Yoshi,Fox,Yoshi’s Story,Player 1
1010,platinum-diamond,Falco,Captain Falcon,Final Destination,Player 2
1011,master-diamond,Captain Falcon,Peach,Battlefield,Player 1
1012,diamond-diamond,Ice Climbers,Falco,Fountain of Dreams,Player 2
1013,master-diamond,Fox,Samus,Yoshi’s Story,Player 1
1014,platinum-diamond,Falco,Fox,Battlefield,Player 2
1015,master-diamond,Luigi,Fox,Final Destination,Player 2
1016,master-platinum,Marth,Peach,Yoshi’s Story,Player 2
1017,platinum-diamond,Fox,Falco,Pokémon Stadium,Player 1
1018,diamond-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 2
1019,master-platinum,Fox,Fox,Yoshi’s Story,Player 1
1020,master-master,Fox,Falco,Battlefield,Player 2
1021,master-diamond,Falco,Mr. Game & Watch,Dream Land,Player 1
1022,master-diamond,Marth,Mewtwo,Pokémon Stadium,Player 1
1023,master-platinum,Ice Climbers,Marth,Pokémon Stadium,Player 1
1024,diamond-diamond,Falco,Fox,Yoshi’s Story,Player 2
1025,diamond-diamond,Fox,Samus,Fountain of Dreams,Player 2
1026,platinum-diamond,Fox,Fox,Yoshi’s Story,Player 2
1027,master-diamond,Falco,Ganondorf,Final Destination,Player 1
1028,diamond-diamond,Fox,Fox,Yoshi’s Story,Player 1
1029,platinum-diamond,Captain Falcon,Samus,Final Destination,Player 1
1030,master-diamond,Dr. Mario,Fox,Final Destination,Player 2
1031,master-diamond,Fox,Fox,Pokémon Stadium,Player 1
1032,master-platinum,Fox,Fox,Yoshi’s Story,Player 1
1033,platinum-diamond,Peach,Sheik,Battlefield,Player 2
1034,master-platinum,Marth,Marth,Final Destination,Player 1
1035,master-diamond,Sheik,Sheik,Pokémon Stadium,Player 2
1036,master-diamond,Sheik,Fox,Pokémon Stadium,Player 1
1037,master-diamond,Mr. Game & Watch,Fox,Yoshi’s Story,Player 2
1038,master-platinum,Fox,Captain Falcon,Pokémon Stadium,Player 1
1039,platinum-platinum,Falco,Sheik,Final Destination,Player 1
1040,diamond-diamond,Falco,Ness,Yoshi’s Story,Player 1
1041,master-diamond,Dr. Mario,Falco,Pokémon Stadium,Player 1
1042,master-platinum,Marth,Sheik,Final Destination,Player 1
1043,platinum-platinum,Ice Climbers,Young Link,Yoshi’s Story,Player 2
1044,platinum-diamond,Jigglypuff,Sheik,Fountain of Dreams,Player 2
1045,diamond-diamond,Falco,Marth,Yoshi’s Story,Player 2
1046,master-diamond,Marth,Captain Falcon,Battlefield,Player 1
1047,master-diamond,Jigglypuff,Fox,Fountain of Dreams,Player 1
1048,platinum-diamond,Fox,Zelda/Sheik,Pokémon Stadium,Player 1
1049,master-master,Dr. Mario,Sheik,Yoshi’s Story,Player 2
1050,master-platinum,Falco,Fox,Final Destination,Player 2
1051,master-platinum,Falco,Falco,Pokémon Stadium,Player 2
1052,diamond-diamond,Falco,Ness,Dream Land,Player 1
1053,platinum-diamond,Luigi,Ganondorf,Pokémon Stadium,Player 2
1054,platinum-platinum,Captain Falcon,Sheik,Fountain of Dreams,Player 1
1055,platinum-diamond,Falco,Peach,Final Destination,Player 2
1056,platinum-diamond,Luigi,Bowser,Fountain of Dreams,Player 2
1057,master-platinum,Peach,Falco,Yoshi’s Story,Player 2
1058,master-master,Fox,Yoshi,Yoshi’s Story,Player 2
1059,platinum-diamond,Samus,Falco,Final Destination,Player 1
1060,platinum-diamond,Jigglypuff,Ness,Yoshi’s Story,Player 2
1061,platinum-diamond,Falco,Peach,Pokémon Stadium,Player 2
1062,diamond-diamond,Peach,Peach,Yoshi’s Story,Player 1
1063,platinum-diamond,Falco,Falco,Final Destination,Player 1
1064,master-platinum,Fox,Peach,Pokémon Stadium,Player 1
1065,diamond-diamond,Fox,Falco,Final Destination,Player 1
1066,master-master,Pikachu,Fox,Final Destination,Player 1
1067,platinum-platinum,Sheik,Fox,Yoshi’s Story,Player 1
1068,master-master,Yoshi,Luigi,Final Destination,Player 2
1069,diamond-diamond,Fox,Peach,Fountain of Dreams,Player 1
1070,master-master,Jigglypuff,Yoshi,Battlefield,Player 1
1071,platinum-diamond,Mario,Ness,Fountain of Dreams,Player 1
1072,master-master,Fox,Peach,Pokémon Stadium,Player 1
1073,master-diamond,Luigi,Sheik,Dream Land,Player 1
1074,master-diamond,Captain Falcon,Fox,Fountain of Dreams,Player 1
1075,platinum-diamond,Captain Falcon,Captain Falcon,Battlefield,Player 1
1076,platinum-platinum,Link,Fox,Final Destination,Player 2
1077,master-master,Luigi,Fox,Final Destination,Player 2
1078,diamond-diamond,Marth,Falco,Final Destination,Player 1
1079,master-master,Sheik,Link,Final Destination,Player 1
1080,master-master,Marth,Link,Pokémon Stadium,Player 1
1081,platinum-platinum,Marth,Fox,Yoshi’s Story,Player 2
1082,platinum-platinum,Captain Falcon,Falco,Pokémon Stadium,Player 2
1083,master-master,Fox,Link,Yoshi’s Story,Player 2
1084,master-platinum,Fox,Captain Falcon,Battlefield,Player 1
1085,master-platinum,Fox,Falco,Final Destination,Player 1
1086,platinum-platinum,Luigi,Sheik,Yoshi’s Story,Player 1
1087,master-diamond,Peach,Ganondorf,Final Destination,Player 2
1088,platinum-platinum,Fox,Captain Falcon,Fountain of Dreams,Player 1
1089,diamond-diamond,Marth,Link,Pokémon Stadium,Player 2
1090,master-master,Fox,Luigi,Fountain of Dreams,Player 2
1091,platinum-diamond,Peach,Sheik,Dream Land,Player 2
1092,master-master,Samus,Captain Falcon,Yoshi’s Story,Player 1
1093,diamond-diamond,Fox,Falco,Final Destination,Player 2
1094,master-diamond,Falco,Marth,Dream Land,Player 1
1095,diamond-diamond,Falco,Sheik,Final Destination,Player 1
1096,diamond-diamond,Jigglypuff,Captain Falcon,Final Destination,Player 1
1097,diamond-diamond,Luigi,Marth,Fountain of Dreams,Player 2
1098,platinum-diamond,Falco,Captain Falcon,Battlefield,Player 2
1099,diamond-diamond,Falco,Jigglypuff,Final Destination,Player 2
1100,platinum-platinum,Peach,Fox,Final Destination,Player 2
1101,diamond-diamond,Falco,Marth,Final Destination,Player 2
1102,master-master,Pikachu,Captain Falcon,Pokémon Stadium,Player 2
1103,master-master,Ice Climbers,Fox,Final Destination,Player 1
1104,platinum-diamond,Captain Falcon,Marth,Final Destination,Player 2
1105,diamond-diamond,Samus,Marth,Final Destination,Player 1
1106,master-master,Falco,Peach,Final Destination,Player 2
1107,diamond-diamond,Falco,Marth,Pokémon Stadium,Player 1
1108,master-platinum,Ice Climbers,Fox,Pokémon Stadium,Player 1
1109,diamond-diamond,Falco,Samus,Fountain of Dreams,Player 1
1110,master-diamond,Samus,Jigglypuff,Yoshi’s Story,Player 1
1111,master-diamond,Samus,Captain Falcon,Battlefield,Player 1
1112,diamond-diamond,Captain Falcon,Jigglypuff,Final Destination,Player 2
1113,diamond-diamond,Falco,Sheik,Final Destination,Player 2
1114,master-platinum,Jigglypuff,Falco,Yoshi’s Story,Player 1
1115,platinum-diamond,Samus,Captain Falcon,Final Destination,Player 2
1116,diamond-diamond,Sheik,Falco,Final Destination,Player 2
1117,master-platinum,Pikachu,Captain Falcon,Final Destination,Player 2
1118,diamond-diamond,Marth,Falco,Pokémon Stadium,Player 2
1119,platinum-platinum,Jigglypuff,Mario,Final Destination,Player 2
1120,diamond-diamond,Ness,Fox,Final Destination,Player 1
1121,platinum-diamond,Sheik,Falco,Pokémon Stadium,Player 1
1122,diamond-diamond,Falco,Falco,Final Destination,Player 2
1123,diamond-diamond,Fox,Dr. Mario,Final Destination,Player 2
1124,master-platinum,Fox,Fox,Final Destination,Player 2
1125,master-diamond,Falco,Fox,Fountain of Dreams,Player 2
1126,master-master,Marth,Yoshi,Final Destination,Player 2
1127,master-diamond,Marth,Peach,Fountain of Dreams,Player 1
1128,master-diamond,Jigglypuff,Jigglypuff,Fountain of Dreams,Player 2
1129,master-platinum,Falco,Jigglypuff,Yoshi’s Story,Player 2
1130,platinum-diamond,Fox,Falco,Battlefield,Player 1
1131,master-master,Ice Climbers,Falco,Fountain of Dreams,Player 1
1132,master-diamond,Fox,Sheik,Dream Land,Player 1
1133,platinum-diamond,Fox,Marth,Pokémon Stadium,Player 2
1134,master-master,Falco,Captain Falcon,Final Destination,Player 2
1135,master-master,Mr. Game & Watch,Sheik,Final Destination,Player 1
1136,master-diamond,Marth,Falco,Yoshi’s Story,Player 1
1137,master-platinum,Fox,Fox,Final Destination,Player 1
1138,diamond-diamond,Fox,Falco,Yoshi’s Story,Player 2
1139,platinum-diamond,Marth,Falco,Final Destination,Player 2
1140,master-master,Ice Climbers,Yoshi,Final Destination,Player 1
1141,platinum-platinum,Marth,Ganondorf,Yoshi’s Story,Player 2
1142,master-platinum,Jigglypuff,Falco,Pokémon Stadium,Player 1
1143,master-master,Jigglypuff,Fox,Pokémon Stadium,Player 2
1144,platinum-diamond,Marth,Fox,Final Destination,Player 2
1145,platinum-platinum,Sheik,Peach,Final Destination,Player 2
1146,master-master,Fox,Captain Falcon,Pokémon Stadium,Player 2
1147,platinum-platinum,Sheik,Marth,Final Destination,Player 2
1148,platinum-diamond,Falco,Fox,Pokémon Stadium,Player 1
1149,master-diamond,Jigglypuff,Luigi,Pokémon Stadium,Player 2
1150,diamond-diamond,Marth,Marth,Yoshi’s Story,Player 1
1151,master-diamond,Fox,Falco,Final Destination,Player 1
1152,master-diamond,Yoshi,Falco,Dream Land,Player 2
1153,platinum-platinum,Marth,Captain Falcon,Pokémon Stadium,Player 2
1154,master-master,Peach,Fox,Yoshi’s Story,Player 1
1155,master-diamond,Samus,Peach,Final Destination,Player 2
1156,platinum-platinum,Marth,Fox,Fountain of Dreams,Player 2
1157,master-diamond,Fox,Fox,Final Destination,Player 2
1158,diamond-diamond,Peach,Sheik,Final Destination,Player 1
1159,master-diamond,Fox,Sheik,Pokémon Stadium,Player 2
1160,master-master,Ice Climbers,Falco,Fountain of Dreams,Player 2
1161,diamond-diamond,Marth,Dr. Mario,Yoshi’s Story,Player 1
1162,platinum-diamond,Ness,Link,Yoshi’s Story,Player 1
1163,master-diamond,Captain Falcon,Falco,Final Destination,Player 2
1164,diamond-diamond,Falco,Jigglypuff,Fountain of Dreams,Player 2
1165,master-master,Jigglypuff,Marth,Final Destination,Player 1
1166,master-master,Marth,Fox,Final Destination,Player 1
1167,platinum-platinum,Peach,Marth,Pokémon Stadium,Player 2
1168,master-diamond,Fox,Falco,Yoshi’s Story,Player 1
1169,platinum-diamond,Young Link,Captain Falcon,Yoshi’s Story,Player 1
1170,master-platinum,Jigglypuff,Fox,Dream Land,Player 2
1171,master-diamond,Samus,Falco,Final Destination,Player 2
1172,master-diamond,Captain Falcon,Marth,Yoshi’s Story,Player 1
1173,diamond-diamond,Fox,Bowser,Final Destination,Player 2
1174,master-diamond,Falco,Marth,Pokémon Stadium,Player 1
1175,platinum-diamond,Peach,Sheik,Final Destination,Player 2
1176,master-diamond,Captain Falcon,Luigi,Fountain of Dreams,Player 2
1177,master-platinum,Marth,Captain Falcon,Yoshi’s Story,Player 1
1178,master-platinum,Fox,Fox,Final Destination,Player 1
1179,diamond-diamond,Luigi,Samus,Final Destination,Player 2
1180,master-diamond,Fox,Yoshi,Dream Land,Player 2
1181,master-diamond,Jigglypuff,Jigglypuff,Final Destination,Player 2
1182,master-diamond,Falco,Falco,Fountain of Dreams,Player 2
1183,master-master,Fox,Luigi,Final Destination,Player 1
1184,diamond-diamond,Peach,Captain Falcon,Fountain of Dreams,Player 2
1185,diamond-diamond,Peach,Falco,Fountain of Dreams,Player 1
1186,master-diamond,Luigi,Fox,Pokémon Stadium,Player 1
1187,platinum-diamond,Falco,Falco,Yoshi’s Story,Player 1
1188,master-diamond,Fox,Fox,Yoshi’s Story,Player 2
1189,diamond-diamond,Falco,Fox,Final Destination,Player 2
1190,master-platinum,Ganondorf,Falco,Yoshi’s Story,Player 1
1191,master-platinum,Fox,Samus,Yoshi’s Story,Player 1
1192,platinum-platinum,Marth,Samus,Fountain of Dreams,Player 1
1193,platinum-platinum,Sheik,Falco,Final Destination,Player 2
1194,diamond-diamond,Link,Sheik,Final Destination,Player 2
1195,platinum-diamond,Falco,Fox,Final Destination,Player 1
1196,diamond-diamond,Fox,Peach,Dream Land,Player 2
1197,platinum-diamond,Marth,Falco,Yoshi’s Story,Player 1
1198,platinum-platinum,Fox,Falco,Yoshi’s Story,Player 2
1199,master-diamond,Falco,Marth,Final Destination,Player 2
1200,master-diamond,Sheik,Captain Falcon,Final Destination,Player 1
1201,diamond-diamond,Jigglypuff,Falco,Final Destination,Player 1
1202,platinum-platinum,Fox,Captain Falcon,Dream Land,Player 2
1203,master-master,Fox,Sheik,Yoshi’s Story,Player 1
1204,master-master,Jigglypuff,Samus,Fountain of Dreams,Player 1
1205,platinum-diamond,Falco,Falco,Battlefield,Player 2
1206,master-diamond,Samus,Captain Falcon,Final Destination,Player 1
1207,master-diamond,Fox,Ness,Final Destination,Player 1
1208,master-master,Falco,Falco,Pokémon Stadium,Player 1
1209,platinum-platinum,Mario,Captain Falcon,Final Destination,Player 1
1210,platinum-platinum,Peach,Marth,Yoshi’s Story,Player 1
1211,diamond-diamond,Fox,Ganondorf,Final Destination,Player 1
1212,platinum-diamond,Fox,Falco,Yoshi’s Story,Player 2
1213,platinum-platinum,Fox,Fox,Final Destination,Player 2
1214,platinum-platinum,Fox,Captain Falcon,Fountain of Dreams,Player 1
1215,platinum-platinum,Falco,Donkey Kong,Pokémon Stadium,Player 2
1216,master-diamond,Fox,Marth,Pokémon Stadium,Player 2
1217,master-diamond,Falco,Fox,Pokémon Stadium,Player 2
1218,master-master,Ganondorf,Falco,Pokémon Stadium,Player 2
1219,diamond-diamond,Falco,Falco,Pokémon Stadium,Player 1
1220,diamond-diamond,Mr. Game & Watch,Peach,Final Destination,Player 2
1221,master-diamond,Falco,Ness,Final Destination,Player 1
