Rank,Player 1,Player 2,Stage,Winner
master-platinum,Fox,Falco,Yoshi’s Story,Player 1
master-platinum,Marth,Link,Pokémon Stadium,Player 2
master-platinum,Captain Falcon,Peach,Final Destination,Player 1
master-platinum,Fox,Fox,Battlefield,Player 1
master-platinum,Fox,Fox,Dream Land,Player 1
master-platinum,Samus,Falco,Pokémon Stadium,Player 1
master-platinum,Falco,Falco,Fountain of Dreams,Player 2
master-platinum,Peach,Captain Falcon,Fountain of Dreams,Player 1
master-platinum,Jigglypuff,Fox,Yoshi’s Story,Player 1
master-platinum,Captain Falcon,Falco,Yoshi’s Story,Player 2
master-platinum,Marth,Pikachu,Yoshi’s Story,Player 2
master-platinum,Donkey Kong,Marth,Yoshi’s Story,Player 2
master-platinum,Ice Climbers,Jigglypuff,Fountain of Dreams,Player 1
master-platinum,Ganondorf,Captain Falcon,Final Destination,Player 2
master-platinum,Peach,Marth,Final Destination,Player 1
master-platinum,Marth,Sheik,Final Destination,Player 1
master-platinum,Captain Falcon,Fox,Final Destination,Player 1
master-platinum,Falco,Jigglypuff,Yoshi’s Story,Player 2
master-platinum,Captain Falcon,Fox,Pokémon Stadium,Player 2
master-platinum,Fox,Fox,Final Destination,Player 2
master-platinum,Ice Climbers,Falco,Fountain of Dreams,Player 1
master-platinum,Falco,Sheik,Final Destination,Player 2
master-platinum,Luigi,Marth,Final Destination,Player 2
master-platinum,Fox,Fox,Yoshi’s Story,Player 1
master-platinum,Fox,Captain Falcon,Final Destination,Player 1
master-platinum,Fox,Falco,Dream Land,Player 2
master-platinum,Falco,Falco,Yoshi’s Story,Player 2
master-platinum,Falco,Ice Climbers,Dream Land,Player 2
master-platinum,Marth,Jigglypuff,Yoshi’s Story,Player 1
master-platinum,Jigglypuff,Fox,Fountain of Dreams,Player 1
master-platinum,Ice Climbers,Falco,Pokémon Stadium,Player 1
master-platinum,Fox,Sheik,Yoshi’s Story,Player 1
master-platinum,Pikachu,Captain Falcon,Final Destination,Player 2
master-platinum,Falco,Captain Falcon,Final Destination,Player 1
master-platinum,Falco,Luigi,Pokémon Stadium,Player 2
master-platinum,Marth,Jigglypuff,Final Destination,Player 2
master-platinum,Sheik,Sheik,Fountain of Dreams,Player 1
master-platinum,Dr. Mario,Luigi,Yoshi’s Story,Player 1
master-platinum,Fox,Marth,Final Destination,Player 1
master-platinum,Marth,Marth,Final Destination,Player 1
master-platinum,Jigglypuff,Fox,Final Destination,Player 1
master-platinum,Pikachu,Falco,Final Destination,Player 1
master-platinum,Falco,Yoshi,Final Destination,Player 2
master-platinum,Falco,Jigglypuff,Final Destination,Player 1
master-platinum,Luigi,Ice Climbers,Final Destination,Player 2
master-platinum,Fox,Jigglypuff,Fountain of Dreams,Player 2
master-platinum,Samus,Fox,Final Destination,Player 1
master-platinum,Falco,Fox,Final Destination,Player 2
master-platinum,Fox,Jigglypuff,Final Destination,Player 1
master-platinum,Fox,Captain Falcon,Final Destination,Player 1
master-platinum,Captain Falcon,Samus,Pokémon Stadium,Player 1
master-platinum,Jigglypuff,Ganondorf,Final Destination,Player 2
master-platinum,Pikachu,Captain Falcon,Yoshi’s Story,Player 1
master-platinum,Roy,Jigglypuff,Fountain of Dreams,Player 1
master-platinum,Link,Falco,Pokémon Stadium,Player 1
master-platinum,Marth,Falco,Final Destination,Player 1
master-platinum,Marth,Marth,Final Destination,Player 1
master-platinum,Falco,Marth,Pokémon Stadium,Player 1
master-platinum,Falco,Marth,Pokémon Stadium,Player 1
master-platinum,Samus,Ganondorf,Final Destination,Player 1
master-platinum,Fox,Sheik,Pokémon Stadium,Player 1
master-platinum,Fox,Pikachu,Final Destination,Player 2
master-platinum,Falco,Sheik,Pokémon Stadium,Player 1
master-platinum,Fox,Captain Falcon,Final Destination,Player 1
master-platinum,Sheik,Ganondorf,Pokémon Stadium,Player 1
master-platinum,Marth,Falco,Pokémon Stadium,Player 1
master-platinum,Fox,Jigglypuff,Pokémon Stadium,Player 2
master-platinum,Jigglypuff,Falco,Pokémon Stadium,Player 1
master-platinum,Falco,Sheik,Final Destination,Player 1
master-platinum,Peach,Sheik,Pokémon Stadium,Player 1
master-platinum,Peach,Falco,Final Destination,Player 2
master-platinum,Falco,Marth,Fountain of Dreams,Player 2
master-platinum,Yoshi,Fox,Yoshi’s Story,Player 1
master-platinum,Ice Climbers,Fox,Yoshi’s Story,Player 2
master-platinum,Falco,Sheik,Final Destination,Player 1
master-platinum,Samus,Marth,Battlefield,Player 1
master-platinum,Marth,Falco,Final Destination,Player 1
master-platinum,Mr. Game & Watch,Falco,Fountain of Dreams,Player 2
master-platinum,Falco,Jigglypuff,Pokémon Stadium,Player 2
master-platinum,Peach,Sheik,Fountain of Dreams,Player 1
master-platinum,Jigglypuff,Fox,Pokémon Stadium,Player 2
master-platinum,Fox,Marth,Final Destination,Player 1
master-platinum,Fox,Sheik,Fountain of Dreams,Player 1
master-platinum,Marth,Fox,Pokémon Stadium,Player 2
master-platinum,Samus,Fox,Final Destination,Player 1
master-platinum,Fox,Peach,Yoshi’s Story,Player 1
master-platinum,Marth,Fox,Pokémon Stadium,Player 2
master-platinum,Falco,Falco,Pokémon Stadium,Player 2
master-platinum,Marth,Yoshi,Pokémon Stadium,Player 2
master-platinum,Falco,Marth,Final Destination,Player 1
master-platinum,Falco,Young Link,Yoshi’s Story,Player 1
master-platinum,Pikachu,Jigglypuff,Battlefield,Player 1
master-platinum,Fox,Falco,Yoshi’s Story,Player 2
master-platinum,Sheik,Dr. Mario,Dream Land,Player 2
master-platinum,Fox,Falco,Fountain of Dreams,Player 2
master-platinum,Sheik,Marth,Yoshi’s Story,Player 1
master-platinum,Fox,Falco,Final Destination,Player 1
master-platinum,Falco,Ness,Fountain of Dreams,Player 1
master-platinum,Fox,Samus,Yoshi’s Story,Player 1
master-platinum,Marth,Dr. Mario,Pokémon Stadium,Player 1
master-platinum,Jigglypuff,Fox,Pokémon Stadium,Player 1
master-platinum,Samus,Peach,Pokémon Stadium,Player 1
master-platinum,Fox,Falco,Battlefield,Player 1
master-platinum,Captain Falcon,Jigglypuff,Final Destination,Player 1
master-platinum,Fox,Fox,Final Destination,Player 2
master-platinum,Young Link,Luigi,Pokémon Stadium,Player 1
master-platinum,Jigglypuff,Marth,Final Destination,Player 1
master-platinum,Falco,Ice Climbers,Final Destination,Player 2
master-platinum,Ice Climbers,Falco,Pokémon Stadium,Player 1
master-platinum,Jigglypuff,Falco,Yoshi’s Story,Player 1
master-platinum,Fox,Captain Falcon,Final Destination,Player 1
master-platinum,Captain Falcon,Marth,Yoshi’s Story,Player 2
master-platinum,Captain Falcon,Marth,Final Destination,Player 2
master-platinum,Jigglypuff,Sheik,Final Destination,Player 1
master-platinum,Sheik,Falco,Yoshi’s Story,Player 1
master-platinum,Fox,Falco,Fountain of Dreams,Player 2
master-platinum,Mario,Pikachu,Final Destination,Player 1
master-platinum,Captain Falcon,Yoshi,Final Destination,Player 2
master-platinum,Peach,Sheik,Fountain of Dreams,Player 1
master-platinum,Pikachu,Captain Falcon,Final Destination,Player 1
master-platinum,Ganondorf,Fox,Pokémon Stadium,Player 1
master-platinum,Yoshi,Fox,Yoshi’s Story,Player 1
master-platinum,Peach,Mario,Pokémon Stadium,Player 1
master-platinum,Fox,Fox,Dream Land,Player 1
master-platinum,Marth,Sheik,Final Destination,Player 2
master-platinum,Fox,Fox,Final Destination,Player 1
master-platinum,Yoshi,Mewtwo,Final Destination,Player 1
master-platinum,Fox,Falco,Final Destination,Player 1
master-platinum,Falco,Fox,Yoshi’s Story,Player 1
master-platinum,Falco,Link,Pokémon Stadium,Player 1
master-platinum,Fox,Fox,Final Destination,Player 2
master-platinum,Falco,Fox,Yoshi’s Story,Player 1
master-platinum,Marth,Marth,Final Destination,Player 2
master-platinum,Marth,Fox,Pokémon Stadium,Player 1
master-platinum,Falco,Marth,Yoshi’s Story,Player 1
master-platinum,Fox,Fox,Final Destination,Player 1
master-platinum,Fox,Fox,Pokémon Stadium,Player 1
master-platinum,Marth,Jigglypuff,Fountain of Dreams,Player 1
master-platinum,Falco,Falco,Final Destination,Player 1
master-platinum,Ice Climbers,Fox,Battlefield,Player 1
master-platinum,Jigglypuff,Fox,Yoshi’s Story,Player 2
master-platinum,Falco,Marth,Pokémon Stadium,Player 2
master-platinum,Fox,Marth,Battlefield,Player 1
master-platinum,Fox,Fox,Yoshi’s Story,Player 2
master-platinum,Fox,Fox,Pokémon Stadium,Player 1
master-platinum,Marth,Fox,Yoshi’s Story,Player 1
master-platinum,Pikachu,Marth,Final Destination,Player 2
master-platinum,Jigglypuff,Dr. Mario,Final Destination,Player 1
master-platinum,Fox,Marth,Pokémon Stadium,Player 1
master-platinum,Marth,Fox,Final Destination,Player 1
master-platinum,Falco,Fox,Dream Land,Player 1
master-platinum,Fox,Sheik,Dream Land,Player 1
master-platinum,Marth,Marth,Final Destination,Player 1
master-platinum,Falco,Jigglypuff,Fountain of Dreams,Player 2
master-platinum,Jigglypuff,Sheik,Fountain of Dreams,Player 1
master-platinum,Ice Climbers,Fox,Battlefield,Player 2
master-platinum,Fox,Samus,Pokémon Stadium,Player 2
master-platinum,Captain Falcon,Fox,Final Destination,Player 1
master-platinum,Sheik,Falco,Pokémon Stadium,Player 1
master-platinum,Ice Climbers,Fox,Final Destination,Player 1
master-platinum,Marth,Pikachu,Yoshi’s Story,Player 2
master-platinum,Fox,Falco,Yoshi’s Story,Player 2
master-platinum,Fox,Peach,Final Destination,Player 1
master-platinum,Donkey Kong,Fox,Yoshi’s Story,Player 1
master-platinum,Sheik,Falco,Pokémon Stadium,Player 2
master-platinum,Peach,Donkey Kong,Pokémon Stadium,Player 1
master-platinum,Captain Falcon,Fox,Battlefield,Player 2
master-platinum,Fox,Samus,Yoshi’s Story,Player 1
master-platinum,Sheik,Peach,Final Destination,Player 1
master-platinum,Marth,Sheik,Final Destination,Player 2
master-platinum,Captain Falcon,Falco,Final Destination,Player 1
master-platinum,Falco,Jigglypuff,Battlefield,Player 2
master-platinum,Falco,Fox,Pokémon Stadium,Player 1
master-platinum,Jigglypuff,Ganondorf,Final Destination,Player 2
master-platinum,Pikachu,Captain Falcon,Final Destination,Player 1
master-platinum,Jigglypuff,Fox,Fountain of Dreams,Player 1
master-platinum,Fox,Falco,Final Destination,Player 2
master-platinum,Ice Climbers,Marth,Pokémon Stadium,Player 1
master-platinum,Captain Falcon,Fox,Final Destination,Player 2
master-platinum,Marth,Falco,Pokémon Stadium,Player 1
master-platinum,Peach,Marth,Final Destination,Player 2
master-platinum,Marth,Falco,Yoshi’s Story,Player 1
master-platinum,Ganondorf,Young Link,Yoshi’s Story,Player 2
master-platinum,Sheik,Fox,Dream Land,Player 1
master-platinum,Fox,Fox,Yoshi’s Story,Player 2
master-platinum,Captain Falcon,Jigglypuff,Final Destination,Player 1
master-platinum,Marth,Captain Falcon,Yoshi’s Story,Player 1
master-platinum,Captain Falcon,Fox,Yoshi’s Story,Player 2
master-platinum,Fox,Fox,Yoshi’s Story,Player 1
master-platinum,Fox,Sheik,Dream Land,Player 2
master-platinum,Yoshi,Peach,Fountain of Dreams,Player 1
master-platinum,Peach,Jigglypuff,Fountain of Dreams,Player 2
master-platinum,Sheik,Ganondorf,Final Destination,Player 1
master-platinum,Marth,Sheik,Final Destination,Player 1
master-platinum,Samus,Peach,Fountain of Dreams,Player 1
master-platinum,Marth,Mr. Game & Watch,Pokémon Stadium,Player 2
master-platinum,Fox,Sheik,Final Destination,Player 1
master-platinum,Marth,Samus,Final Destination,Player 2
master-platinum,Falco,Captain Falcon,Pokémon Stadium,Player 1
master-platinum,Marth,Falco,Yoshi’s Story,Player 1
master-platinum,Fox,Marth,Battlefield,Player 1
master-platinum,Captain Falcon,Fox,Yoshi’s Story,Player 2
master-platinum,Marth,Falco,Pokémon Stadium,Player 1
master-platinum,Jigglypuff,Fox,Fountain of Dreams,Player 1
master-platinum,Falco,Marth,Final Destination,Player 1
master-platinum,Jigglypuff,Fox,Final Destination,Player 1
master-platinum,Mr. Game & Watch,Fox,Yoshi’s Story,Player 2
master-platinum,Fox,Fox,Dream Land,Player 1
master-platinum,Fox,Dr. Mario,Yoshi’s Story,Player 2
master-platinum,Falco,Sheik,Final Destination,Player 1
master-platinum,Sheik,Fox,Fountain of Dreams,Player 1
master-platinum,Jigglypuff,Fox,Final Destination,Player 1
master-platinum,Fox,Fox,Dream Land,Player 1
master-platinum,Falco,Jigglypuff,Final Destination,Player 1
master-platinum,Ice Climbers,Fox,Pokémon Stadium,Player 1
master-platinum,Fox,Marth,Yoshi’s Story,Player 2
master-platinum,Falco,Captain Falcon,Yoshi’s Story,Player 2
master-platinum,Marth,Captain Falcon,Battlefield,Player 2
master-platinum,Yoshi,Peach,Fountain of Dreams,Player 1
master-platinum,Fox,Marth,Final Destination,Player 2
master-platinum,Fox,Samus,Final Destination,Player 1
master-platinum,Marth,Falco,Pokémon Stadium,Player 1
master-platinum,Ganondorf,Sheik,Dream Land,Player 2
master-platinum,Falco,Sheik,Fountain of Dreams,Player 1
master-platinum,Falco,Fox,Dream Land,Player 2
master-platinum,Captain Falcon,Roy,Yoshi’s Story,Player 1
master-platinum,Falco,Falco,Yoshi’s Story,Player 2
master-platinum,Fox,Fox,Yoshi’s Story,Player 1
master-platinum,Falco,Ness,Dream Land,Player 1
master-platinum,Fox,Marth,Pokémon Stadium,Player 2
master-platinum,Fox,Fox,Yoshi’s Story,Player 1
master-platinum,Marth,Yoshi,Final Destination,Player 2
master-platinum,Fox,Falco,Battlefield,Player 2
master-platinum,Captain Falcon,Fox,Yoshi’s Story,Player 2
master-platinum,Marth,Fox,Final Destination,Player 2
master-platinum,Jigglypuff,Falco,Yoshi’s Story,Player 1
master-platinum,Ice Climbers,Fox,Yoshi’s Story,Player 1
master-platinum,Falco,Marth,Final Destination,Player 1
master-platinum,Falco,Falco,Pokémon Stadium,Player 1
master-platinum,Fox,Falco,Fountain of Dreams,Player 2
master-platinum,Sheik,Samus,Fountain of Dreams,Player 1
master-platinum,Falco,Falco,Pokémon Stadium,Player 1
master-platinum,Falco,Falco,Pokémon Stadium,Player 1
master-platinum,Marth,Peach,Final Destination,Player 2
master-platinum,Fox,Fox,Dream Land,Player 1
master-platinum,Fox,Fox,Pokémon Stadium,Player 1
master-platinum,Fox,Falco,Battlefield,Player 1
master-platinum,Ganondorf,Marth,Final Destination,Player 1
master-platinum,Fox,Yoshi,Yoshi’s Story,Player 1
master-platinum,Fox,Falco,Pokémon Stadium,Player 1
master-platinum,Jigglypuff,Falco,Pokémon Stadium,Player 1
master-platinum,Samus,Luigi,Fountain of Dreams,Player 1
master-platinum,Donkey Kong,Ness,Fountain of Dreams,Player 2
master-platinum,Fox,Falco,Fountain of Dreams,Player 1
master-platinum,Jigglypuff,Marth,Fountain of Dreams,Player 1
master-platinum,Donkey Kong,Fox,Pokémon Stadium,Player 2
master-platinum,Falco,Fox,Yoshi’s Story,Player 1
master-platinum,Fox,Peach,Final Destination,Player 2
master-platinum,Jigglypuff,Fox,Dream Land,Player 2
master-platinum,Yoshi,Falco,Final Destination,Player 1
master-platinum,Captain Falcon,Sheik,Final Destination,Player 1
master-platinum,Fox,Falco,Final Destination,Player 1
master-platinum,Fox,Marth,Yoshi’s Story,Player 1
master-platinum,Fox,Fox,Pokémon Stadium,Player 1
master-platinum,Peach,Yoshi,Final Destination,Player 2
master-platinum,Sheik,Jigglypuff,Yoshi’s Story,Player 2
master-platinum,Captain Falcon,Captain Falcon,Battlefield,Player 2
master-platinum,Fox,Falco,Yoshi’s Story,Player 2
master-platinum,Jigglypuff,Peach,Final Destination,Player 1
master-platinum,Jigglypuff,Sheik,Battlefield,Player 1
master-platinum,Marth,Falco,Pokémon Stadium,Player 1
master-platinum,Fox,Falco,Final Destination,Player 1
master-platinum,Ice Climbers,Falco,Final Destination,Player 1
master-platinum,Fox,Jigglypuff,Yoshi’s Story,Player 2
master-platinum,Ice Climbers,Luigi,Final Destination,Player 2
master-platinum,Falco,Captain Falcon,Yoshi’s Story,Player 1
master-platinum,Fox,Marth,Pokémon Stadium,Player 1
master-platinum,Samus,Fox,Final Destination,Player 2
master-platinum,Falco,Jigglypuff,Final Destination,Player 2
master-platinum,Fox,Fox,Final Destination,Player 1
master-platinum,Falco,Link,Final Destination,Player 1
master-platinum,Peach,Yoshi,Final Destination,Player 2
master-platinum,Mr. Game & Watch,Peach,Yoshi’s Story,Player 1
master-platinum,Luigi,Falco,Pokémon Stadium,Player 2
master-platinum,Marth,Captain Falcon,Yoshi’s Story,Player 2
master-platinum,Falco,Fox,Yoshi’s Story,Player 2
master-platinum,Falco,Falco,Yoshi’s Story,Player 1
master-platinum,Falco,Fox,Yoshi’s Story,Player 1
master-platinum,Jigglypuff,Fox,Final Destination,Player 2
master-platinum,Fox,Fox,Yoshi’s Story,Player 1
master-platinum,Falco,Marth,Fountain of Dreams,Player 2
master-platinum,Ice Climbers,Fox,Fountain of Dreams,Player 1
master-platinum,Pikachu,Luigi,Final Destination,Player 1
master-platinum,Falco,Falco,Final Destination,Player 1
master-platinum,Fox,Falco,Final Destination,Player 2
master-platinum,Sheik,Ice Climbers,Pokémon Stadium,Player 1
master-platinum,Peach,Falco,Fountain of Dreams,Player 1
master-platinum,Captain Falcon,Falco,Yoshi’s Story,Player 2
master-platinum,Fox,Fox,Final Destination,Player 1
master-platinum,Fox,Captain Falcon,Battlefield,Player 1
master-platinum,Fox,Jigglypuff,Pokémon Stadium,Player 2
master-platinum,Fox,Yoshi,Battlefield,Player 2
master-platinum,Mr. Game & Watch,Sheik,Final Destination,Player 1
master-platinum,Jigglypuff,Captain Falcon,Battlefield,Player 1
master-platinum,Pikachu,Falco,Final Destination,Player 1
master-platinum,Marth,Falco,Yoshi’s Story,Player 1
master-platinum,Falco,Marth,Final Destination,Player 2
master-platinum,Falco,Peach,Fountain of Dreams,Player 2
master-platinum,Marth,Fox,Yoshi’s Story,Player 1
master-platinum,Samus,Pikachu,Final Destination,Player 1
master-platinum,Jigglypuff,Fox,Final Destination,Player 1
master-platinum,Marth,Fox,Final Destination,Player 2
master-platinum,Marth,Fox,Dream Land,Player 1
master-platinum,Marth,Falco,Yoshi’s Story,Player 1
master-platinum,Marth,Falco,Final Destination,Player 2
master-platinum,Marth,Peach,Yoshi’s Story,Player 2
master-platinum,Fox,Falco,Final Destination,Player 1
master-platinum,Fox,Luigi,Fountain of Dreams,Player 1
master-platinum,Fox,Sheik,Final Destination,Player 1
master-platinum,Falco,Fox,Final Destination,Player 2
master-platinum,Yoshi,Falco,Battlefield,Player 1
master-platinum,Captain Falcon,Captain Falcon,Final Destination,Player 1
master-platinum,Sheik,Fox,Final Destination,Player 2
master-platinum,Marth,Fox,Final Destination,Player 2
master-platinum,Fox,Fox,Yoshi’s Story,Player 2
master-platinum,Fox,Falco,Final Destination,Player 1
master-platinum,Luigi,Luigi,Final Destination,Player 2
master-platinum,Falco,Jigglypuff,Pokémon Stadium,Player 2
master-platinum,Falco,Marth,Yoshi’s Story,Player 1
master-platinum,Captain Falcon,Falco,Final Destination,Player 1
master-platinum,Falco,Fox,Pokémon Stadium,Player 2
master-platinum,Falco,Falco,Pokémon Stadium,Player 1
master-platinum,Fox,Captain Falcon,Final Destination,Player 1
master-platinum,Fox,Pikachu,Yoshi’s Story,Player 2
master-platinum,Falco,Mr. Game & Watch,Final Destination,Player 1
master-platinum,Yoshi,Falco,Pokémon Stadium,Player 1
master-platinum,Falco,Sheik,Final Destination,Player 1
master-platinum,Captain Falcon,Falco,Final Destination,Player 1
master-platinum,Fox,Yoshi,Final Destination,Player 2
master-platinum,Fox,Sheik,Fountain of Dreams,Player 2
master-platinum,Falco,Samus,Battlefield,Player 1
master-platinum,Captain Falcon,Fox,Yoshi’s Story,Player 1
master-platinum,Fox,Sheik,Yoshi’s Story,Player 2
master-platinum,Samus,Donkey Kong,Pokémon Stadium,Player 1
master-platinum,Jigglypuff,Peach,Pokémon Stadium,Player 1
master-platinum,Falco,Marth,Yoshi’s Story,Player 1
master-platinum,Fox,Falco,Pokémon Stadium,Player 2
master-platinum,Falco,Captain Falcon,Final Destination,Player 1
master-platinum,Samus,Samus,Dream Land,Player 1
master-platinum,Captain Falcon,Marth,Final Destination,Player 1
master-platinum,Samus,Sheik,Final Destination,Player 1
master-platinum,Marth,Falco,Yoshi’s Story,Player 2
master-platinum,Captain Falcon,Falco,Final Destination,Player 2
master-platinum,Falco,Falco,Final Destination,Player 1
master-platinum,Marth,Samus,Fountain of Dreams,Player 1
master-platinum,Fox,Samus,Yoshi’s Story,Player 1
master-platinum,Fox,Falco,Final Destination,Player 1
master-platinum,Fox,Falco,Dream Land,Player 2
master-platinum,Marth,Ganondorf,Final Destination,Player 2
master-platinum,Yoshi,Fox,Yoshi’s Story,Player 1
master-platinum,Fox,Sheik,Final Destination,Player 2
master-platinum,Captain Falcon,Falco,Final Destination,Player 1
master-platinum,Peach,Falco,Final Destination,Player 2
master-platinum,Fox,Fox,Battlefield,Player 2
master-platinum,Marth,Fox,Final Destination,Player 1
master-platinum,Captain Falcon,Marth,Yoshi’s Story,Player 1
master-platinum,Ganondorf,Jigglypuff,Yoshi’s Story,Player 2
master-platinum,Peach,Fox,Dream Land,Player 2
master-platinum,Fox,Fox,Final Destination,Player 1
master-platinum,Fox,Fox,Final Destination,Player 1
master-platinum,Samus,Fox,Fountain of Dreams,Player 1
master-platinum,Jigglypuff,Peach,Fountain of Dreams,Player 1
master-platinum,Fox,Sheik,Final Destination,Player 2
master-platinum,Ice Climbers,Jigglypuff,Final Destination,Player 1
master-platinum,Marth,Falco,Final Destination,Player 1
master-platinum,Falco,Samus,Dream Land,Player 1
master-platinum,Jigglypuff,Marth,Pokémon Stadium,Player 1
master-platinum,Fox,Falco,Final Destination,Player 1
master-platinum,Captain Falcon,Jigglypuff,Pokémon Stadium,Player 1
master-platinum,Jigglypuff,Sheik,Final Destination,Player 2
master-platinum,Falco,Fox,Dream Land,Player 1
master-platinum,Fox,Dr. Mario,Final Destination,Player 1
master-platinum,Falco,Jigglypuff,Final Destination,Player 1
master-platinum,Fox,Marth,Final Destination,Player 1
master-platinum,Falco,Ice Climbers,Final Destination,Player 2
master-platinum,Marth,Fox,Fountain of Dreams,Player 1
master-platinum,Dr. Mario,Fox,Pokémon Stadium,Player 1
master-platinum,Ice Climbers,Marth,Final Destination,Player 1
master-platinum,Captain Falcon,Falco,Pokémon Stadium,Player 2
master-platinum,Peach,Falco,Pokémon Stadium,Player 1
master-platinum,Peach,Fox,Yoshi’s Story,Player 1
master-platinum,Dr. Mario,Fox,Yoshi’s Story,Player 1
master-platinum,Ganondorf,Falco,Yoshi’s Story,Player 1
master-platinum,Fox,Jigglypuff,Dream Land,Player 2
master-platinum,Fox,Fox,Dream Land,Player 2
master-platinum,Jigglypuff,Peach,Pokémon Stadium,Player 1
master-platinum,Fox,Falco,Battlefield,Player 1
master-platinum,Captain Falcon,Fox,Pokémon Stadium,Player 2
master-platinum,Captain Falcon,Samus,Fountain of Dreams,Player 1
master-platinum,Falco,Captain Falcon,Pokémon Stadium,Player 1
master-platinum,Captain Falcon,Marth,Battlefield,Player 1
master-platinum,Falco,Captain Falcon,Battlefield,Player 1
master-platinum,Yoshi,Sheik,Yoshi’s Story,Player 1
master-platinum,Marth,Ice Climbers,Battlefield,Player 1
master-platinum,Mewtwo,Luigi,Pokémon Stadium,Player 1
master-platinum,Marth,Falco,Pokémon Stadium,Player 1
master-platinum,Jigglypuff,Jigglypuff,Yoshi’s Story,Player 2
master-platinum,Sheik,Jigglypuff,Battlefield,Player 2
master-platinum,Ice Climbers,Falco,Pokémon Stadium,Player 1
master-platinum,Samus,Captain Falcon,Yoshi’s Story,Player 1
master-platinum,Marth,Jigglypuff,Battlefield,Player 1
master-platinum,Falco,Sheik,Dream Land,Player 1
master-platinum,Falco,Fox,Yoshi’s Story,Player 2
master-platinum,Jigglypuff,Falco,Pokémon Stadium,Player 1
master-platinum,Falco,Peach,Fountain of Dreams,Player 1
master-platinum,Fox,Samus,Fountain of Dreams,Player 2
master-platinum,Captain Falcon,Fox,Final Destination,Player 1
master-platinum,Falco,Fox,Yoshi’s Story,Player 1
master-platinum,Sheik,Falco,Yoshi’s Story,Player 1
master-platinum,Sheik,Marth,Pokémon Stadium,Player 2
master-platinum,Captain Falcon,Jigglypuff,Final Destination,Player 2
master-platinum,Falco,Fox,Yoshi’s Story,Player 2
master-platinum,Fox,Marth,Yoshi’s Story,Player 1
master-platinum,Luigi,Fox,Final Destination,Player 2
master-platinum,Captain Falcon,Sheik,Yoshi’s Story,Player 1
master-platinum,Fox,Fox,Final Destination,Player 1
master-platinum,Captain Falcon,Falco,Dream Land,Player 1
master-platinum,Falco,Marth,Yoshi’s Story,Player 1
master-platinum,Peach,Captain Falcon,Final Destination,Player 1
master-platinum,Fox,Young Link,Fountain of Dreams,Player 2
diamond-diamond,Samus,Ice Climbers,Battlefield,Player 2
diamond-diamond,Marth,Peach,Pokémon Stadium,Player 2
diamond-diamond,Ice Climbers,Marth,Fountain of Dreams,Player 1
diamond-diamond,Fox,Fox,Yoshi’s Story,Player 1
diamond-diamond,Link,Fox,Fountain of Dreams,Player 2
diamond-diamond,Mewtwo,Sheik,Battlefield,Parità
diamond-diamond,Captain Falcon,Peach,Final Destination,Player 2
diamond-diamond,Fox,Peach,Fountain of Dreams,Player 1
diamond-diamond,Fox,Fox,Final Destination,Player 2
diamond-diamond,Marth,Ice Climbers,Pokémon Stadium,Player 1
diamond-diamond,Falco,Fox,Final Destination,Player 1
diamond-diamond,Ice Climbers,Captain Falcon,Pokémon Stadium,Player 1
diamond-diamond,Marth,Fox,Pokémon Stadium,Player 2
diamond-diamond,Fox,Yoshi,Pokémon Stadium,Player 2
diamond-diamond,Falco,Jigglypuff,Final Destination,Player 2
diamond-diamond,Zelda/Sheik,Marth,Final Destination,Player 2
diamond-diamond,Falco,Ness,Yoshi’s Story,Player 1
diamond-diamond,Fox,Marth,Fountain of Dreams,Player 1
diamond-diamond,Ganondorf,Falco,Pokémon Stadium,Player 1
diamond-diamond,Samus,Fox,Final Destination,Player 1
diamond-diamond,Peach,Falco,Dream Land,Player 1
diamond-diamond,Sheik,Marth,Pokémon Stadium,Player 1
diamond-diamond,Fox,Marth,Pokémon Stadium,Parità
diamond-diamond,Samus,Falco,Yoshi’s Story,Player 2
diamond-diamond,Captain Falcon,Yoshi,Final Destination,Player 1
diamond-diamond,Marth,Mewtwo,Pokémon Stadium,Player 2
diamond-diamond,Fox,Marth,Final Destination,Player 1
diamond-diamond,Fox,Yoshi,Final Destination,Player 1
diamond-diamond,Ganondorf,Sheik,Yoshi’s Story,Player 2
diamond-diamond,Fox,Mewtwo,Dream Land,Player 1
diamond-diamond,Captain Falcon,Dr. Mario,Yoshi’s Story,Player 2
diamond-diamond,Sheik,Falco,Pokémon Stadium,Player 2
diamond-diamond,Luigi,Ganondorf,Battlefield,Parità
diamond-diamond,Falco,Fox,Yoshi’s Story,Player 2
diamond-diamond,Mewtwo,Fox,Battlefield,Player 1
diamond-diamond,Sheik,Fox,Yoshi’s Story,Player 1
diamond-diamond,Falco,Samus,Final Destination,Player 2
diamond-diamond,Bowser,Falco,Fountain of Dreams,Player 2
diamond-diamond,Samus,Ganondorf,Fountain of Dreams,Player 1
diamond-diamond,Ness,Falco,Pokémon Stadium,Player 2
diamond-diamond,Fox,Jigglypuff,Pokémon Stadium,Player 1
diamond-diamond,Falco,Fox,Fountain of Dreams,Player 2
diamond-diamond,Marth,Link,Yoshi’s Story,Player 1
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
diamond-diamond,Fox,Jigglypuff,Fountain of Dreams,Player 1
